torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,valor_mercado_local,altura_media_local,edad_media_local,proporcion_zurdos_local,valor_mercado_visitante,altura_media_visitante,edad_media_visitante,proporcion_zurdos_visitante,resultado,fecha_encuentro,apuesta_local,apuesta_visitante,apuesta_empate
Campeonato 2015,2,5,Olimpo,Racing Club,0,0,,,,,,,,,,,,,,,12.97,1.791086956521739,25.020833333333332,0.25,29.075,1.7813513513513513,26.135135135135137,0.2972972972972973,E,2015-02-21 20:00:00,2.56,2.95,2.93
Campeonato 2015,2,6,Velez,Crucero (M),2,1,,,,,,,,,,,,,,,28.5,1.7815094339622641,22.69811320754717,0.3018867924528302,4.4,1.7875,25.697674418604652,0.09302325581395349,L,2015-02-21 20:30:00,1.58,6.37,3.59
Campeonato 2015,2,7,San Martin (SJ),Gimnasia (LP),1,1,,,,,,,,,,,,,,,11.25,1.78,26.153846153846153,0.20512820512820512,14.3,1.779318181818182,24.113636363636363,0.22727272727272727,E,2015-02-21 21:30:00,2.7,2.79,2.92
Campeonato 2015,2,8,Aldosivi,Newells,0,1,,,,,,,,,,,,,,,8.725,1.7903703703703704,28.1,0.23333333333333334,32.67,1.7793999999999999,24.274509803921568,0.1568627450980392,V,2015-02-22 17:00:00,2.91,2.51,3.04
Campeonato 2015,2,9,Nueva Chicago,Union,2,2,,,,,,,,,,,,,,,8.15,1.796470588235294,26.142857142857142,0.22857142857142856,7.95,1.7917073170731705,23.80952380952381,0.19047619047619047,E,2015-02-22 17:00:00,2.52,3.01,2.92
Campeonato 2015,2,10,Independiente,Sarmiento (J),1,1,,,,,,,,,,,,,,,33.525,1.7817021276595744,25.595744680851062,0.2978723404255319,8.975,1.8005882352941176,26.394736842105264,0.2631578947368421,E,2015-02-22 17:00:00,1.6,5.89,3.62
Campeonato 2015,2,11,River Plate,Quilmes,2,2,,,,,,,,,,,,,,,56.25,1.7738461538461539,24.21153846153846,0.23076923076923078,16.975,1.7925000000000002,25.244897959183675,0.1836734693877551,E,2015-02-22 18:15:00,1.39,8.47,4.3
Campeonato 2015,2,12,Colon,Argentinos,1,1,,,,,,,,,,,,,,,12.125,1.8010256410256409,24.94871794871795,0.28205128205128205,12.049999999999999,1.78125,24.70731707317073,0.1951219512195122,E,2015-02-22 19:10:00,2.15,3.76,2.95
Campeonato 2015,2,13,Temperley,Boca Juniors,0,2,,,,,,,,,,,,,,,5.3,1.8006666666666669,26.35483870967742,0.1935483870967742,80.925,1.7951020408163267,24.92,0.2,V,2015-02-22 21:30:00,5.43,1.66,3.54
Campeonato 2015,2,14,Lanus,Belgrano,0,0,,,,,,,,,,,,,,,30.62,1.8165853658536586,25.11904761904762,0.2619047619047619,13.975,1.8192105263157894,26.42105263157895,0.21052631578947367,E,2015-02-23 18:00:00,1.96,4.1,3.17
